id	effect	rawPval	adjPval	logAdjPval
P-hsa04390-94	0.46680515272389284	0.6406392889720269	0.9880090718917233	0.012063399199781262
P-hsa04390-58	2.297516288174166	0.021589334974127405	0.417542189808897	0.8733696863622974
P-hsa04390-59	1.9532534237731582	0.05078957351231694	0.5571215285508508	0.5849718787407069
P-hsa04390-60	2.8431958096581664	0.004466362130653323	0.2792965119035211	1.2754812948181882
P-hsa04390-88	2.188274798122212	0.028649591505790495	0.48420390689065734	0.725249165756792
P-hsa04390-89	1.904296498568344	0.056871579994666854	0.567833348046003	0.5659273046390355
P-hsa04390-74	2.4501874718333125	0.014278185288066902	0.3754950794287909	0.9795099119149625
P-hsa04390-75	0.8800543858378697	0.37882984793034424	0.9200826715137377	0.08329175263523043
P-hsa04390-76	0.6044549632444701	0.5455412030968088	0.9622302394427007	0.038501522812255405
P-hsa04390-77	2.6685343328070736	0.007618299192843958	0.32481657467671055	1.1244946415880297
P-hsa04390-78	0.6625950330339346	0.5075899521566944	0.9612435042168058	0.03952751582693077
P-hsa04390-79	1.0225835960567944	0.30650476884158206	0.8991473434079058	0.10630836093470665
P-hsa04390-80	2.1434744495215594	0.032075020585598635	0.4854280967564836	0.7227241036473151
P-hsa04390-18	-0.5433956752386521	0.5868574027346853	0.9723121588166213	0.028078375033750182
P-hsa04390-5	-1.969327727606299	0.048915469107816634	0.5561540608864485	0.5867099351880569
P-hsa04510-20 69	-0.20680100367384413	0.8361652722774553	1	-0
P-hsa04510-24 69	0.14179509863936776	0.8872418556708419	1	-0
P-hsa04510-47	1.5548189843525786	0.11998918645698575	0.6728607236399557	0.3962169192832514
P-hsa04510-42	0.6608920295127599	0.5086815579294137	0.9612435042168058	0.03952751582693077
P-hsa04510-44	0.06158289073447588	0.950895002294565	1	-0
P-hsa04510-43	-0.10427535122202959	0.9169508381364078	1	-0
P-hsa04510-19 23	-0.3419481561628331	0.7323899082494185	1	-0
P-hsa04510-23 4 5	0.09014221133478383	0.9281742059418432	1	-0
P-hsa04510-19 26	-1.0335837124606135	0.301330816930768	0.8991473434079058	0.10630836093470665
P-hsa04510-6 4 5	0.9613018687882648	0.3364004085636445	0.9148796197989206	0.08896278542308336
P-hsa04510-20 4 5	-1.904467348605685	0.056849345173251686	0.567833348046003	0.5659273046390355
P-hsa04510-26 4 5	-0.569198229232598	0.5692216222358033	0.9688788690091725	0.03161568108777934
P-hsa04520-69	-0.5661081464719694	0.5713202657298302	0.9688788690091725	0.03161568108777934
P-hsa04520-9 57	0.18580735704865114	0.8525958349140843	1	-0
P-hsa04520-58	0.4605178777276845	0.6451445422135496	0.9880090718917233	0.012063399199781262
P-hsa04520-10	-1.960437269792401	0.04994470327403899	0.5571215285508508	0.5849718787407069
P-hsa04520-4	0.8317272004905727	0.40556294368303347	0.9323971597418759	0.06999641800505892
P-hsa04520-17	-0.23620912286380408	0.8132704007759983	1	-0
P-hsa04520-1 13	0.1008343459957407	0.9196819616182341	1	-0
P-hsa04520-18	-1.6702986666940662	0.09486028685434578	0.65499041827506	0.4231346720415786
P-hsa04520-7 68	1.0991238511709258	0.27171404771711316	0.8747143806561525	0.1338578680190694
P-hsa04520-44 52 45	2.7526039270464056	0.005912337733020134	0.3060052512282324	1.184153016300426
P-hsa04520-64	1.3010305907176447	0.19324798398512288	0.7967763032001989	0.2271813131135797
P-hsa04520-44 49	1.4493769661519336	0.14723233763463184	0.7137154144769233	0.3372709752603137
P-hsa04520-44 47	0.6759252346576341	0.49908811517218177	0.9576532370332704	0.04326953205511407
P-hsa04520-34	1.026172433220473	0.30481031282425297	0.8991473434079058	0.10630836093470665
P-hsa04520-43	0.4904555923593973	0.6238115464029736	0.9880090718917233	0.012063399199781262
P-hsa04520-73	-0.20347649821849076	0.8387626131503185	1	-0
P-hsa04530-20 22	1.6074553971118115	0.10795450622737901	0.669571767045785	0.4011169246059121
P-hsa04530-22 33	0.2951974064026365	0.7678430831559324	1	-0
P-hsa04530-11 20 16	0.4527242248549795	0.6507473335141838	0.9880090718917233	0.012063399199781262
P-hsa04530-13 45 20	0.7678954523298915	0.4425492994240159	0.9411898835460525	0.06061037065030243
P-hsa04530-14 20 43	0.7919677946692304	0.42837945489819185	0.9385569220896995	0.06341177259484435
P-hsa04530-20 37	-0.4907237513662191	0.623621845308652	0.9880090718917233	0.012063399199781262
P-hsa04530-20 31	-1.6045705949926254	0.10858833694398973	0.6701043424569892	0.4003218437121315
P-hsa04530-20 62	-0.6976378583353277	0.4854036993981947	0.9505400209509532	0.050725012783866034
P-hsa04530-1 5	0.8703709449141579	0.3840977196552817	0.9200826715137377	0.08329175263523043
P-hsa04530-5 11 31	-0.6114793226550482	0.5408823031755601	0.9622302394427007	0.038501522812255405
P-hsa04530-5 10	0.09090481942741667	0.927568220701946	1	-0
P-hsa04530-5 15	-0.04022478396426621	0.9679139188708503	1	-0
